Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
106,E108,106,0000,000,0000,000,0000,0000,004,0100
106,E108,107,E108,108,0000,000,0106,0000,004,0100,108,0000
107,A106,108,A106,106,E108,000,0107,E108,008,1000
108,0000,109,0000,108,0000,000,0108,E108,008,1000
109,0200,10A,0200,109,0200,000,0109,0000,004,0100
10A,6107,10B,6107,107,A106,000,010A,5EFA,000,0000
10B,4111,10C,4111,111,A106,000,010B,0000,005,0101
10C,E108,10D,E108,108,0000,000,010C,0000,005,0101,108,0000
10D,A106,10E,A106,106,E108,000,010D,E108,009,1001
10E,3108,10F,3108,108,0000,000,1EF7,E108,009,1001
10F,E112,110,E112,112,E108,000,010F,E108,009,1001,112,E108
110,0100,111,0100,110,0100,000,0110,E108,009,1001
111,A106,112,0100,110,0100,000,0110,E108,009,1001
112,E108,113,0100,112,E108,000,0110,E108,009,1001
113,0000,106,0100,112,E108,000,0110,E108,009,1001
106,E108,107,0100,106,E108,000,0110,E108,009,1001
