Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
4BF,0200,4BF,0000,000,0000,000,0000,0000,004,0100
4BF,0200,4C0,0200,4BF,0200,000,04BF,0000,004,0100
4C0,EE19,4C1,EE19,4DA,0000,000,0019,0000,004,0100,4DA,0000
4C1,AE15,4C2,AE15,4D7,0D54,000,0015,0D54,000,0000
4C2,0C00,4C3,0C00,7FF,0D54,7FF,04C2,0D54,000,0000,7FF,0D54
4C3,D6EE,6EE,D6EE,7FE,04C4,7FE,D6EE,0D54,000,0000,7FE,04C4
6EE,AC01,6EF,AC01,7FF,0D54,7FE,0001,0D54,000,0000
6EF,F203,6F0,F203,6EF,F203,7FE,06EF,0D54,000,0000
6F0,7E0A,6F1,7E0A,6FB,0DBB,7FE,000A,0D54,008,1000
6F1,F006,6F2,F006,6F1,F006,7FE,06F1,0D54,008,1000
6F2,F805,6F8,F805,6F2,F805,7FE,0005,0D54,008,1000
6F8,AE02,6F9,AE02,6FB,0DBB,7FE,0002,0DBB,000,0000
6F9,EC01,6FA,EC01,7FF,0DBB,7FE,0001,0DBB,000,0000,7FF,0DBB
6FA,0A00,4C4,0A00,7FE,04C4,7FF,06FA,0DBB,000,0000
4C4,0800,4C5,0800,7FF,0DBB,000,04C4,0DBB,000,0000
4C5,6E14,4C6,6E14,4DA,0000,000,0014,0DBB,001,0001
4C6,EE13,4C7,EE13,4DA,0DBB,000,0013,0DBB,001,0001,4DA,0DBB
4C7,AE10,4C8,AE10,4D8,0038,000,0010,0038,001,0001
4C8,0C00,4C9,0C00,7FF,0038,7FF,04C8,0038,001,0001,7FF,0038
4C9,D6EE,6EE,D6EE,7FE,04CA,7FE,D6EE,0038,001,0001,7FE,04CA
6EE,AC01,6EF,AC01,7FF,0038,7FE,0001,0038,001,0001
6EF,F203,6F0,F203,6EF,F203,7FE,06EF,0038,001,0001
6F0,7E0A,6F1,7E0A,6FB,0DBB,7FE,000A,0038,008,1000
6F1,F006,6F2,F006,6F1,F006,7FE,06F1,0038,008,1000
6F2,F805,6F8,F805,6F2,F805,7FE,0005,0038,008,1000
6F8,AE02,6F9,AE02,6FB,0DBB,7FE,0002,0DBB,000,0000
6F9,EC01,6FA,EC01,7FF,0DBB,7FE,0001,0DBB,000,0000,7FF,0DBB
6FA,0A00,4CA,0A00,7FE,04CA,7FF,06FA,0DBB,000,0000
4CA,0800,4CB,0800,7FF,0DBB,000,04CA,0DBB,000,0000
4CB,0740,4CC,0740,4CB,0740,000,04CB,0DBA,001,0001
4CC,4E0D,4CD,4E0D,4DA,0DBB,000,000D,1B75,000,0000
4CD,EE0C,4CE,EE0C,4DA,1B75,000,000C,1B75,000,0000,4DA,1B75
4CE,AE0A,4CF,AE0A,4D9,E9BE,000,000A,E9BE,008,1000
4CF,0740,4D0,0740,4CF,0740,000,04CF,E9BD,009,1001
4D0,0C00,4D1,0C00,7FF,E9BD,7FF,04D0,E9BD,009,1001,7FF,E9BD
4D1,D6EE,6EE,D6EE,7FE,04D2,7FE,D6EE,E9BD,009,1001,7FE,04D2
6EE,AC01,6EF,AC01,7FF,E9BD,7FE,0001,E9BD,009,1001
6EF,F203,6F3,F203,6EF,F203,7FE,0003,E9BD,009,1001
6F3,4C01,6F4,4C01,7FF,E9BD,7FE,0001,D37A,009,1001
6F4,4C01,6F5,4C01,7FF,E9BD,7FE,0001,BD37,009,1001
6F5,4C01,6F6,4C01,7FF,E9BD,7FE,0001,A6F4,009,1001
6F6,4E05,6F7,4E05,6FC,0046,7FE,0005,A73A,008,1000
6F7,CE01,6F9,CE01,6F7,06F9,7FE,0001,A73A,008,1000
6F9,EC01,6FA,EC01,7FF,A73A,7FE,0001,A73A,008,1000,7FF,A73A
6FA,0A00,4D2,0A00,7FE,04D2,7FF,06FA,A73A,008,1000
4D2,0800,4D3,0800,7FF,A73A,000,04D2,A73A,008,1000
4D3,0700,4D4,0700,4D3,0700,000,04D3,A73B,008,1000
4D4,6E05,4D5,6E05,4DA,1B75,000,0005,8BC6,009,1001
4D5,EE04,4D6,EE04,4DA,8BC6,000,0004,8BC6,009,1001,4DA,8BC6
4D6,0100,4D7,0100,4D6,0100,000,04D6,8BC6,009,1001
